id,id_estados,id_equipo,nombre,id_detal_estado,id_trabajador,tiempo_inicio,tiempo_estimado
1329313,1329313,34,CA03,2822,368,2023-01-01 13:07:06.098712+00:00,0.0
1329386,1329386,34,CA03,113,368,2023-01-01 13:59:28.483874+00:00,0.0
1329399,1329399,34,CA03,90,99,2023-01-01 14:28:04.779822+00:00,0.0
1329439,1329439,34,CA03,111,99,2023-01-01 15:37:49.347373+00:00,60.0
1329444,1329444,34,CA03,90,99,2023-01-01 15:48:06.015000+00:00,0.0
1329449,1329449,34,CA03,113,99,2023-01-01 15:55:48.811371+00:00,0.0
1329618,1329618,34,CA03,90,241,2023-01-01 19:52:26.601452+00:00,0.0
1329730,1329730,34,CA03,2822,241,2023-01-01 22:04:10.424891+00:00,0.0
1329773,1329773,34,CA03,113,241,2023-01-01 23:08:41.310285+00:00,0.0
1329897,1329897,34,CA03,1355,0,2023-01-02 00:12:39.736501+00:00,0.0
1329915,1329915,34,CA03,113,241,2023-01-02 00:25:41.821587+00:00,0.0
1329933,1329933,34,CA03,90,183,2023-01-02 00:46:59.676211+00:00,0.0
1329944,1329944,34,CA03,2822,183,2023-01-02 01:07:17.358000+00:00,0.0
1330199,1330199,34,CA03,113,183,2023-01-02 07:11:36.047864+00:00,0.0
1330293,1330293,34,CA03,90,259,2023-01-02 08:52:37.496998+00:00,0.0
1330304,1330304,34,CA03,1280,259,2023-01-02 09:01:17.960000+00:00,300.0
1330335,1330335,34,CA03,90,259,2023-01-02 09:09:33.629000+00:00,0.0
1330358,1330358,34,CA03,90,259,2023-01-02 09:31:48.660989+00:00,0.0
1330359,1330359,34,CA03,3217,259,2023-01-02 09:33:06.197618+00:00,0.0
1330486,1330486,34,CA03,90,259,2023-01-02 11:53:13.256221+00:00,0.0
1330515,1330515,34,CA03,93,259,2023-01-02 12:08:10.685000+00:00,600.0
1330538,1330538,34,CA03,90,352,2023-01-02 12:16:28.109070+00:00,0.0
1330616,1330616,34,CA03,98,352,2023-01-02 13:42:53.938266+00:00,600.0
1330629,1330629,34,CA03,90,352,2023-01-02 13:56:56.738000+00:00,0.0
1330637,1330637,34,CA03,109,352,2023-01-02 14:01:39.107642+00:00,600.0
1330644,1330644,34,CA03,90,352,2023-01-02 14:11:32.952000+00:00,0.0
1330700,1330700,34,CA03,113,352,2023-01-02 16:23:26.904635+00:00,0.0
1330927,1330927,34,CA03,90,164,2023-01-02 20:30:36.664211+00:00,0.0
1331011,1331011,34,CA03,105,164,2023-01-02 23:08:01.454000+00:00,300.0
1331016,1331016,34,CA03,90,164,2023-01-02 23:11:38.565000+00:00,0.0
1331017,1331017,34,CA03,90,164,2023-01-02 23:12:48.230030+00:00,0.0
1331049,1331049,34,CA03,93,164,2023-01-02 23:40:43.160000+00:00,600.0
1331114,1331114,34,CA03,90,297,2023-01-03 00:07:37.002906+00:00,0.0
1331261,1331261,34,CA03,3217,297,2023-01-03 03:51:32.364559+00:00,0.0
1331446,1331446,34,CA03,90,297,2023-01-03 08:09:15.104725+00:00,0.0
1331450,1331450,34,CA03,94,297,2023-01-03 08:12:32.107000+00:00,300.0
1331456,1331456,34,CA03,90,246,2023-01-03 08:18:45.803000+00:00,0.0
1331511,1331511,34,CA03,1280,246,2023-01-03 09:32:59.021000+00:00,300.0
1331522,1331522,34,CA03,90,246,2023-01-03 09:39:54.476000+00:00,0.0
1331639,1331639,34,CA03,93,246,2023-01-03 11:44:14.444000+00:00,600.0
1331648,1331648,34,CA03,90,354,2023-01-03 11:48:54.007679+00:00,0.0
1331772,1331772,34,CA03,491,354,2023-01-03 13:36:23.929559+00:00,0.0
1331878,1331878,34,CA03,113,354,2023-01-03 15:08:53.749112+00:00,0.0
1331941,1331941,34,CA03,1324,354,2023-01-03 16:43:31.438139+00:00,0.0
1332082,1332082,34,CA03,1355,354,2023-01-03 20:27:13.429955+00:00,0.0
1332158,1332158,34,CA03,113,354,2023-01-03 21:29:35.310110+00:00,0.0
1332246,1332246,34,CA03,2917,217,2023-01-03 23:20:46.188094+00:00,0.0
1332372,1332372,34,CA03,3367,217,2023-01-04 00:40:26.498093+00:00,0.0
1332388,1332388,34,CA03,2917,217,2023-01-04 00:59:38.373381+00:00,0.0
1332404,1332404,34,CA03,90,296,2023-01-04 01:20:28.730986+00:00,0.0
1332455,1332455,34,CA03,2777,296,2023-01-04 03:05:30.064000+00:00,0.0
1332461,1332461,34,CA03,90,296,2023-01-04 03:17:43.399000+00:00,0.0
1332493,1332493,34,CA03,98,296,2023-01-04 04:39:42.910000+00:00,600.0
1332498,1332498,34,CA03,90,296,2023-01-04 04:51:33.972000+00:00,0.0
1332525,1332525,34,CA03,2777,296,2023-01-04 05:48:28.903000+00:00,0.0
1332528,1332528,34,CA03,90,296,2023-01-04 05:55:56.308000+00:00,0.0
1332531,1332531,34,CA03,90,296,2023-01-04 05:56:54.006571+00:00,300.0
1332623,1332623,34,CA03,1280,296,2023-01-04 07:40:40.084000+00:00,300.0
1332643,1332643,34,CA03,90,296,2023-01-04 07:47:07.802000+00:00,0.0
1332686,1332686,34,CA03,94,296,2023-01-04 08:38:23.582000+00:00,300.0
1332689,1332689,34,CA03,90,377,2023-01-04 08:41:20.067229+00:00,0.0
1332731,1332731,34,CA03,3134,377,2023-01-04 09:17:51.709925+00:00,0.0
1333079,1333079,34,CA03,113,377,2023-01-04 14:30:01.801366+00:00,0.0
1333087,1333087,34,CA03,90,66,2023-01-04 14:36:13.591962+00:00,0.0
1333113,1333113,34,CA03,1050,66,2023-01-04 15:08:18.361000+00:00,300.0
1333115,1333115,34,CA03,90,66,2023-01-04 15:10:54.173000+00:00,0.0
1333116,1333116,34,CA03,90,66,2023-01-04 15:11:36.355981+00:00,0.0
1333143,1333143,34,CA03,90,66,2023-01-04 16:09:50.762000+00:00,0.0
1333171,1333171,34,CA03,491,66,2023-01-04 16:45:36.759791+00:00,0.0
1333838,1333838,34,CA03,3367,66,2023-01-05 05:55:29.851462+00:00,0.0
1334071,1334071,34,CA03,90,42,2023-01-05 09:45:46.287989+00:00,0.0
1334149,1334149,34,CA03,1280,42,2023-01-05 10:43:07.875000+00:00,300.0
1334153,1334153,34,CA03,90,42,2023-01-05 10:47:07.442000+00:00,0.0
1334249,1334249,34,CA03,93,42,2023-01-05 11:58:54.568000+00:00,600.0
1334261,1334261,34,CA03,90,67,2023-01-05 12:03:48.040656+00:00,0.0
1334363,1334363,34,CA03,109,67,2023-01-05 14:01:48.142961+00:00,600.0
1334384,1334384,34,CA03,90,67,2023-01-05 14:19:43.463000+00:00,0.0
1334513,1334513,34,CA03,109,67,2023-01-05 17:45:11.952545+00:00,600.0
1334521,1334521,34,CA03,113,67,2023-01-05 17:51:57.690848+00:00,0.0
1334692,1334692,34,CA03,90,236,2023-01-05 20:45:12.425944+00:00,0.0
1334862,1334862,34,CA03,108,236,2023-01-05 23:43:42.501000+00:00,600.0
1334868,1334868,34,CA03,90,236,2023-01-05 23:47:57.390000+00:00,0.0
1334873,1334873,34,CA03,93,236,2023-01-05 23:51:09.644000+00:00,600.0
1334917,1334917,34,CA03,90,238,2023-01-06 00:05:11.244218+00:00,0.0
1334959,1334959,34,CA03,98,238,2023-01-06 00:40:06.339000+00:00,600.0
1334970,1334970,34,CA03,90,238,2023-01-06 00:53:20.980000+00:00,0.0
1335169,1335169,34,CA03,94,238,2023-01-06 06:15:50.132000+00:00,300.0
1335175,1335175,34,CA03,90,260,2023-01-06 06:20:39.532167+00:00,0.0
1335218,1335218,34,CA03,1280,260,2023-01-06 06:49:04.004000+00:00,300.0
1335239,1335239,34,CA03,90,260,2023-01-06 06:58:17.313000+00:00,0.0
1335312,1335312,34,CA03,1280,260,2023-01-06 08:19:03.675000+00:00,300.0
1335332,1335332,34,CA03,90,260,2023-01-06 08:25:10.388000+00:00,0.0
1335421,1335421,34,CA03,94,260,2023-01-06 09:55:57.512000+00:00,300.0
1335425,1335425,34,CA03,90,297,2023-01-06 10:01:02.484713+00:00,0.0
1335493,1335493,34,CA03,3217,297,2023-01-06 10:46:00.412449+00:00,0.0
1335586,1335586,34,CA03,90,297,2023-01-06 12:02:49.092535+00:00,0.0
1335592,1335592,34,CA03,93,297,2023-01-06 12:06:17.748000+00:00,600.0
1335597,1335597,34,CA03,90,350,2023-01-06 12:08:08.555165+00:00,0.0
1335639,1335639,34,CA03,3217,350,2023-01-06 12:34:03.193506+00:00,0.0
1335673,1335673,34,CA03,90,350,2023-01-06 13:24:02.844094+00:00,0.0
1335675,1335675,34,CA03,109,350,2023-01-06 13:27:34.628354+00:00,600.0
1335679,1335679,34,CA03,90,350,2023-01-06 13:38:23.349000+00:00,0.0
1335726,1335726,34,CA03,90,350,2023-01-06 14:26:25.404702+00:00,0.0
1335727,1335727,34,CA03,3217,350,2023-01-06 14:27:41.597752+00:00,0.0
1335761,1335761,34,CA03,90,350,2023-01-06 15:58:24.360697+00:00,0.0
1335799,1335799,34,CA03,94,350,2023-01-06 17:14:08.667000+00:00,300.0
1335801,1335801,34,CA03,90,195,2023-01-06 17:16:28.873684+00:00,0.0
1335818,1335818,34,CA03,3217,195,2023-01-06 17:52:55.455466+00:00,0.0
1335881,1335881,34,CA03,90,195,2023-01-06 19:57:19.240043+00:00,0.0
1335884,1335884,34,CA03,98,195,2023-01-06 20:00:23.661000+00:00,600.0
1335897,1335897,34,CA03,90,195,2023-01-06 20:10:54.823809+00:00,0.0
1335973,1335973,34,CA03,113,195,2023-01-06 22:25:06.409000+00:00,0.0
1335995,1335995,34,CA03,90,195,2023-01-06 23:03:21.535468+00:00,0.0
1336062,1336062,34,CA03,93,195,2023-01-06 23:56:25.896000+00:00,600.0
1336099,1336099,34,CA03,90,354,2023-01-07 00:12:18.915720+00:00,0.0
1336328,1336328,34,CA03,1280,354,2023-01-07 05:27:28.431000+00:00,300.0
1336341,1336341,34,CA03,90,354,2023-01-07 05:33:34.242000+00:00,0.0
1336417,1336417,34,CA03,94,354,2023-01-07 07:43:58.712000+00:00,300.0
1336422,1336422,34,CA03,90,112,2023-01-07 07:46:59.871423+00:00,0.0
1336437,1336437,34,CA03,109,112,2023-01-07 08:23:18.922000+00:00,600.0
1336443,1336443,34,CA03,2917,112,2023-01-07 08:32:09.607000+00:00,0.0
1336444,1336444,34,CA03,3134,112,2023-01-07 08:32:57.836862+00:00,0.0
1336667,1336667,34,CA03,90,326,2023-01-07 12:14:02.779813+00:00,0.0
1336826,1336826,34,CA03,105,326,2023-01-07 15:55:26.659756+00:00,300.0
1336828,1336828,34,CA03,90,326,2023-01-07 15:56:55.170000+00:00,0.0
1336843,1336843,34,CA03,3134,326,2023-01-07 16:36:29.606826+00:00,0.0
1337039,1337039,34,CA03,111,326,2023-01-07 20:25:17.246940+00:00,60.0
1337075,1337075,34,CA03,90,281,2023-01-07 21:07:13.277212+00:00,0.0
1337119,1337119,34,CA03,98,281,2023-01-07 22:13:14.073000+00:00,600.0
1337124,1337124,34,CA03,90,281,2023-01-07 22:25:19.613000+00:00,0.0
1337190,1337190,34,CA03,108,281,2023-01-07 23:35:37.497000+00:00,600.0
1337210,1337210,34,CA03,90,281,2023-01-07 23:40:58.231000+00:00,0.0
1337217,1337217,34,CA03,93,281,2023-01-07 23:44:45.771000+00:00,600.0
1337236,1337236,34,CA03,90,354,2023-01-07 23:53:56.068775+00:00,0.0
1337254,1337254,34,CA03,109,354,2023-01-07 23:59:12.524000+00:00,600.0
1337278,1337278,34,CA03,90,354,2023-01-08 00:10:50.064000+00:00,0.0
1337342,1337342,34,CA03,2777,354,2023-01-08 00:50:50.368000+00:00,0.0
1337349,1337349,34,CA03,90,354,2023-01-08 00:53:19.901000+00:00,0.0
1337475,1337475,34,CA03,1280,354,2023-01-08 05:24:34.774000+00:00,300.0
1337479,1337479,34,CA03,90,354,2023-01-08 05:29:59.895000+00:00,0.0
1337536,1337536,34,CA03,94,354,2023-01-08 06:25:19.465000+00:00,300.0
1337539,1337539,34,CA03,90,75,2023-01-08 06:28:18.848305+00:00,0.0
1337706,1337706,34,CA03,94,75,2023-01-08 10:13:37.117000+00:00,300.0
1337707,1337707,34,CA03,90,114,2023-01-08 10:15:32.312041+00:00,0.0
1337739,1337739,34,CA03,1280,114,2023-01-08 10:35:51.271000+00:00,300.0
1337759,1337759,34,CA03,90,114,2023-01-08 10:40:45.725000+00:00,0.0
1337853,1337853,34,CA03,93,114,2023-01-08 11:53:38.333000+00:00,600.0
1337867,1337867,34,CA03,90,106,2023-01-08 11:58:51.577799+00:00,0.0
1338016,1338016,34,CA03,109,106,2023-01-08 14:20:14.904000+00:00,600.0
1338025,1338025,34,CA03,90,106,2023-01-08 14:30:46.697000+00:00,0.0
1338193,1338193,34,CA03,94,106,2023-01-08 18:35:12.369000+00:00,300.0
1338196,1338196,34,CA03,90,17,2023-01-08 18:37:33.367529+00:00,0.0
1338234,1338234,34,CA03,98,17,2023-01-08 19:33:45.205000+00:00,600.0
1338243,1338243,34,CA03,90,17,2023-01-08 19:43:42.441574+00:00,0.0
1338467,1338467,34,CA03,93,17,2023-01-08 23:49:27.387000+00:00,600.0
1338474,1338474,34,CA03,90,354,2023-01-08 23:55:38.069000+00:00,0.0
1338476,1338476,34,CA03,90,354,2023-01-08 23:56:14.710638+00:00,0.0
1338482,1338482,34,CA03,3217,354,2023-01-08 23:57:26.839562+00:00,0.0
1338555,1338555,34,CA03,90,354,2023-01-09 00:30:11.011434+00:00,0.0
1338591,1338591,34,CA03,109,354,2023-01-09 01:02:09.224000+00:00,600.0
1338602,1338602,34,CA03,90,354,2023-01-09 01:15:47.742000+00:00,0.0
1338689,1338689,34,CA03,1280,354,2023-01-09 05:18:51.865000+00:00,300.0
1338707,1338707,34,CA03,90,354,2023-01-09 05:24:01.238000+00:00,0.0
1338749,1338749,34,CA03,94,354,2023-01-09 06:20:36.881000+00:00,300.0
1338750,1338750,34,CA03,90,202,2023-01-09 06:22:58.349388+00:00,0.0
1338927,1338927,34,CA03,1280,308,2023-01-09 10:00:33.681000+00:00,300.0
1338948,1338948,34,CA03,90,308,2023-01-09 10:08:38.464000+00:00,0.0
1339049,1339049,34,CA03,93,308,2023-01-09 11:49:49.591000+00:00,600.0
1339057,1339057,34,CA03,90,106,2023-01-09 11:51:11.628828+00:00,0.0
1339142,1339142,34,CA03,109,106,2023-01-09 12:47:57.504000+00:00,600.0
1339155,1339155,34,CA03,1355,106,2023-01-09 13:03:04.999042+00:00,0.0
1339226,1339226,34,CA03,90,106,2023-01-09 15:20:36.396000+00:00,0.0
1339275,1339275,34,CA03,94,106,2023-01-09 17:13:33.472000+00:00,300.0
1339281,1339281,34,CA03,90,292,2023-01-09 17:15:55.684000+00:00,0.0
1339303,1339303,34,CA03,111,292,2023-01-09 17:50:02.822000+00:00,60.0
1339323,1339323,34,CA03,90,292,2023-01-09 18:13:20.199000+00:00,0.0
1339332,1339332,34,CA03,90,292,2023-01-09 18:18:09.134710+00:00,0.0
1339335,1339335,34,CA03,3217,292,2023-01-09 18:19:33.842697+00:00,0.0
1339344,1339344,34,CA03,2816,292,2023-01-09 18:24:15.502000+00:00,0.0
1339365,1339365,34,CA03,90,292,2023-01-09 18:50:48.514000+00:00,0.0
1339375,1339375,34,CA03,3217,292,2023-01-09 18:58:04.157024+00:00,0.0
1339421,1339421,34,CA03,90,292,2023-01-09 19:44:35.947864+00:00,0.0
1339444,1339444,34,CA03,3353,292,2023-01-09 19:59:47.119000+00:00,0.0
1339447,1339447,34,CA03,98,292,2023-01-09 20:04:21.206000+00:00,600.0
1339454,1339454,34,CA03,90,292,2023-01-09 20:14:11.737000+00:00,0.0
1339568,1339568,34,CA03,1280,292,2023-01-09 23:02:13.316000+00:00,300.0
1339571,1339571,34,CA03,90,292,2023-01-09 23:03:59.717000+00:00,0.0
1339608,1339608,34,CA03,108,292,2023-01-09 23:41:21.061000+00:00,600.0
1339619,1339619,34,CA03,90,292,2023-01-09 23:44:41.425000+00:00,0.0
1339627,1339627,34,CA03,93,292,2023-01-09 23:49:27.443000+00:00,600.0
1339638,1339638,34,CA03,90,354,2023-01-09 23:51:02.980047+00:00,0.0
1339767,1339767,34,CA03,109,354,2023-01-10 02:14:19.589000+00:00,600.0
1339768,1339768,34,CA03,90,354,2023-01-10 02:15:20.246000+00:00,0.0
1339863,1339863,34,CA03,94,354,2023-01-10 05:09:16.678000+00:00,300.0
1339866,1339866,34,CA03,90,66,2023-01-10 05:12:02.684613+00:00,0.0
1339878,1339878,34,CA03,1280,66,2023-01-10 05:16:35.039000+00:00,300.0
1339899,1339899,34,CA03,1050,66,2023-01-10 05:24:44.922000+00:00,300.0
1339913,1339913,34,CA03,90,66,2023-01-10 05:28:58.805000+00:00,0.0
1339954,1339954,34,CA03,111,66,2023-01-10 06:07:01.212000+00:00,60.0
1339964,1339964,34,CA03,90,66,2023-01-10 06:20:14.405000+00:00,0.0
1340116,1340116,34,CA03,94,66,2023-01-10 09:28:03.734000+00:00,300.0
1340118,1340118,34,CA03,90,294,2023-01-10 09:31:06.807933+00:00,0.0
1340190,1340190,34,CA03,1280,294,2023-01-10 10:30:42.473000+00:00,300.0
1340192,1340192,34,CA03,90,294,2023-01-10 10:35:39.042000+00:00,0.0
1340224,1340224,34,CA03,108,294,2023-01-10 11:24:15.738000+00:00,600.0
1340232,1340232,34,CA03,93,294,2023-01-10 11:30:41.706000+00:00,600.0
1340337,1340337,34,CA03,90,349,2023-01-10 12:11:24.291559+00:00,0.0
1340513,1340513,34,CA03,100,349,2023-01-10 16:35:34.162456+00:00,1800.0
1340543,1340543,34,CA03,90,349,2023-01-10 17:18:54.137000+00:00,0.0
1340548,1340548,34,CA03,1050,349,2023-01-10 17:25:42.557104+00:00,300.0
1340559,1340559,34,CA03,90,349,2023-01-10 17:34:28.536000+00:00,0.0
1340647,1340647,34,CA03,94,349,2023-01-10 19:32:33.667588+00:00,300.0
1340660,1340660,34,CA03,90,292,2023-01-10 19:43:07.998677+00:00,0.0
1340717,1340717,34,CA03,111,292,2023-01-10 20:43:15.721953+00:00,60.0
1340790,1340790,34,CA03,90,292,2023-01-10 22:17:01.515000+00:00,0.0
1340831,1340831,34,CA03,108,292,2023-01-10 23:16:16.813000+00:00,600.0
1340835,1340835,34,CA03,93,292,2023-01-10 23:20:20.786000+00:00,600.0
1340957,1340957,34,CA03,90,354,2023-01-11 00:19:57.271450+00:00,0.0
1341018,1341018,34,CA03,98,354,2023-01-11 01:44:43.985000+00:00,600.0
1341024,1341024,34,CA03,90,354,2023-01-11 01:55:20.478000+00:00,0.0
1341025,1341025,34,CA03,3138,354,2023-01-11 01:59:05.607721+00:00,0.0
1341029,1341029,34,CA03,90,354,2023-01-11 02:08:22.397000+00:00,0.0
1341160,1341160,34,CA03,1280,354,2023-01-11 05:26:33.964000+00:00,300.0
1341174,1341174,34,CA03,90,354,2023-01-11 05:30:45.568000+00:00,0.0
1341186,1341186,34,CA03,94,354,2023-01-11 05:38:29.223000+00:00,300.0
1341188,1341188,34,CA03,90,76,2023-01-11 05:41:07.979654+00:00,0.0
1341354,1341354,34,CA03,1280,76,2023-01-11 10:06:35.305000+00:00,300.0
1341379,1341379,34,CA03,90,76,2023-01-11 10:15:15.134000+00:00,0.0
1341461,1341461,34,CA03,93,76,2023-01-11 11:43:41.242000+00:00,600.0
1341480,1341480,34,CA03,90,106,2023-01-11 11:50:58.982653+00:00,0.0
1341593,1341593,34,CA03,109,106,2023-01-11 13:42:27.805000+00:00,600.0
1341597,1341597,34,CA03,90,106,2023-01-11 13:52:39.152000+00:00,0.0
1341710,1341710,34,CA03,94,106,2023-01-11 17:03:50.839000+00:00,300.0
1341712,1341712,34,CA03,90,351,2023-01-11 17:06:14.004740+00:00,0.0
1341879,1341879,34,CA03,100,351,2023-01-11 20:05:05.674000+00:00,1800.0
1341904,1341904,34,CA03,90,351,2023-01-11 20:26:10.520000+00:00,0.0
1341939,1341939,34,CA03,94,351,2023-01-11 21:06:23.689000+00:00,300.0
1341941,1341941,34,CA03,90,281,2023-01-11 21:09:01.009803+00:00,0.0
1341948,1341948,34,CA03,3217,281,2023-01-11 21:19:58.690578+00:00,0.0
1341951,1341951,34,CA03,90,281,2023-01-11 21:29:05.249410+00:00,0.0
1341998,1341998,34,CA03,108,281,2023-01-11 22:26:18.827000+00:00,600.0
1342001,1342001,34,CA03,90,281,2023-01-11 22:30:40.677000+00:00,0.0
1342056,1342056,34,CA03,108,281,2023-01-11 23:36:10.389000+00:00,600.0
1342072,1342072,34,CA03,90,281,2023-01-11 23:43:51.723000+00:00,0.0
1342098,1342098,34,CA03,93,281,2023-01-11 23:50:08.671000+00:00,600.0
1342105,1342105,34,CA03,90,354,2023-01-11 23:52:49.407831+00:00,0.0
1342136,1342136,34,CA03,109,354,2023-01-12 00:03:14.011000+00:00,600.0
1342144,1342144,34,CA03,90,354,2023-01-12 00:08:01.202000+00:00,0.0
1342218,1342218,34,CA03,98,354,2023-01-12 01:59:09.660000+00:00,600.0
1342223,1342223,34,CA03,90,354,2023-01-12 02:10:01.698000+00:00,0.0
1342332,1342332,34,CA03,1280,354,2023-01-12 05:29:55.972000+00:00,300.0
1342339,1342339,34,CA03,90,354,2023-01-12 05:35:22.561000+00:00,0.0
1342403,1342403,34,CA03,94,354,2023-01-12 07:57:18.848000+00:00,300.0
1342405,1342405,34,CA03,90,72,2023-01-12 07:59:39.038222+00:00,0.0
1342484,1342484,34,CA03,1280,72,2023-01-12 10:22:19.803000+00:00,300.0
1342506,1342506,34,CA03,90,72,2023-01-12 10:29:22.991000+00:00,0.0
1342789,1342789,34,CA03,109,106,2023-01-12 14:27:57.834000+00:00,600.0
1342795,1342795,34,CA03,90,106,2023-01-12 14:33:53.599000+00:00,0.0
1343030,1343030,34,CA03,1305,106,2023-01-12 19:14:49.509000+00:00,3600.0
1343068,1343068,34,CA03,100,106,2023-01-12 19:50:26.349791+00:00,1800.0
1343086,1343086,34,CA03,100,195,2023-01-12 19:57:56.303469+00:00,1800.0
1343140,1343140,34,CA03,111,195,2023-01-12 21:00:48.219885+00:00,60.0
1343180,1343180,34,CA03,90,195,2023-01-12 21:37:39.007921+00:00,0.0
1343201,1343201,34,CA03,3138,195,2023-01-12 22:19:20.636000+00:00,0.0
1343214,1343214,34,CA03,90,195,2023-01-12 22:36:35.575293+00:00,0.0
1343279,1343279,34,CA03,93,195,2023-01-12 23:44:36.010000+00:00,600.0
1343311,1343311,34,CA03,90,354,2023-01-12 23:58:46.165547+00:00,0.0
1343406,1343406,34,CA03,98,354,2023-01-13 00:45:38.363000+00:00,600.0
1343413,1343413,34,CA03,90,354,2023-01-13 00:56:02.231000+00:00,0.0
1343566,1343566,34,CA03,1280,354,2023-01-13 05:32:04.018000+00:00,300.0
1343576,1343576,34,CA03,90,354,2023-01-13 05:38:07.056000+00:00,0.0
1343677,1343677,34,CA03,94,354,2023-01-13 08:31:28.818000+00:00,300.0
1343678,1343678,34,CA03,90,283,2023-01-13 08:33:15.836317+00:00,0.0
1343768,1343768,34,CA03,1280,283,2023-01-13 10:09:29.080000+00:00,300.0
1343783,1343783,34,CA03,90,283,2023-01-13 10:15:23.826000+00:00,0.0
1343842,1343842,34,CA03,108,283,2023-01-13 11:35:03.845000+00:00,600.0
1343847,1343847,34,CA03,90,283,2023-01-13 11:38:56.075000+00:00,0.0
1343871,1343871,34,CA03,93,283,2023-01-13 11:52:49.569000+00:00,600.0
1343881,1343881,34,CA03,90,238,2023-01-13 11:58:26.716647+00:00,0.0
1343997,1343997,34,CA03,109,238,2023-01-13 13:56:24.380000+00:00,600.0
1344001,1344001,34,CA03,90,238,2023-01-13 14:09:12.514000+00:00,0.0
1344102,1344102,34,CA03,1050,238,2023-01-13 16:36:34.821887+00:00,300.0
1344106,1344106,34,CA03,90,238,2023-01-13 16:42:35.708000+00:00,0.0
1344191,1344191,34,CA03,94,238,2023-01-13 18:12:36.956000+00:00,300.0
1344196,1344196,34,CA03,90,189,2023-01-13 18:16:00.557000+00:00,0.0
1344281,1344281,34,CA03,103,189,2023-01-13 19:47:26.372000+00:00,300.0
1344284,1344284,34,CA03,90,189,2023-01-13 19:50:56.589000+00:00,0.0
1344308,1344308,34,CA03,1280,189,2023-01-13 20:06:13.649000+00:00,300.0
1344331,1344331,34,CA03,90,189,2023-01-13 20:13:08.001000+00:00,0.0
1344417,1344417,34,CA03,98,189,2023-01-13 22:36:32.451000+00:00,600.0
1344419,1344419,34,CA03,90,189,2023-01-13 22:51:33.090000+00:00,0.0
1344449,1344449,34,CA03,108,189,2023-01-13 23:30:24.053000+00:00,600.0
1344464,1344464,34,CA03,90,189,2023-01-13 23:36:55.427000+00:00,0.0
1344479,1344479,34,CA03,93,189,2023-01-13 23:42:03.771000+00:00,600.0
1344569,1344569,34,CA03,90,284,2023-01-14 00:17:00.447541+00:00,0.0
1344803,1344803,34,CA03,94,284,2023-01-14 06:11:44.266000+00:00,300.0
1344819,1344819,34,CA03,90,20,2023-01-14 06:17:42.586000+00:00,0.0
1345079,1345079,34,CA03,93,20,2023-01-14 11:23:54.318000+00:00,600.0
1345180,1345180,34,CA03,90,238,2023-01-14 12:22:11.925638+00:00,0.0
1345524,1345524,34,CA03,94,238,2023-01-14 19:29:16.283000+00:00,300.0
1345526,1345526,34,CA03,90,244,2023-01-14 19:31:22.310572+00:00,0.0
1345565,1345565,34,CA03,100,244,2023-01-14 20:11:49.605303+00:00,1800.0
1345611,1345611,34,CA03,90,244,2023-01-14 20:52:01.565000+00:00,0.0
1345650,1345650,34,CA03,98,244,2023-01-14 21:36:00.271000+00:00,600.0
1345662,1345662,34,CA03,90,244,2023-01-14 21:46:21.681000+00:00,0.0
1345799,1345799,34,CA03,93,244,2023-01-14 23:57:39.138000+00:00,600.0
1345802,1345802,34,CA03,90,276,2023-01-14 23:59:40.834703+00:00,0.0
1345821,1345821,34,CA03,109,276,2023-01-15 00:06:54.499000+00:00,600.0
1345833,1345833,34,CA03,90,276,2023-01-15 00:15:31.275000+00:00,0.0
1346027,1346027,34,CA03,1280,276,2023-01-15 06:08:56.310000+00:00,300.0
1346043,1346043,34,CA03,90,276,2023-01-15 06:15:49.470000+00:00,0.0
1346138,1346138,34,CA03,1280,107,2023-01-15 08:02:25.376000+00:00,300.0
1346154,1346154,34,CA03,90,107,2023-01-15 08:07:19.109000+00:00,0.0
1346261,1346261,34,CA03,1280,107,2023-01-15 09:53:44.876000+00:00,300.0
1346269,1346269,34,CA03,90,107,2023-01-15 09:59:52.499000+00:00,0.0
1346374,1346374,34,CA03,93,107,2023-01-15 11:47:45.125000+00:00,600.0
1346428,1346428,34,CA03,90,238,2023-01-15 12:12:53.248716+00:00,0.0
1346521,1346521,34,CA03,2822,238,2023-01-15 13:50:55.084397+00:00,0.0
1346645,1346645,34,CA03,3367,238,2023-01-15 16:59:40.697203+00:00,0.0
1346692,1346692,34,CA03,90,218,2023-01-15 17:46:12.050742+00:00,0.0
1346712,1346712,34,CA03,94,218,2023-01-15 18:13:12.005000+00:00,300.0
1346714,1346714,34,CA03,90,277,2023-01-15 18:14:50.312895+00:00,0.0
1346774,1346774,34,CA03,2777,277,2023-01-15 19:22:11.823000+00:00,0.0
1346778,1346778,34,CA03,90,277,2023-01-15 19:24:34.360000+00:00,0.0
1346797,1346797,34,CA03,98,277,2023-01-15 19:53:27.712000+00:00,600.0
1346812,1346812,34,CA03,90,277,2023-01-15 20:04:11.497000+00:00,0.0
1346813,1346813,34,CA03,100,277,2023-01-15 20:05:04.118000+00:00,1800.0
1346852,1346852,34,CA03,90,277,2023-01-15 20:44:02.359000+00:00,0.0
1347052,1347052,34,CA03,93,277,2023-01-15 23:57:46.105000+00:00,600.0
1347063,1347063,34,CA03,90,276,2023-01-16 00:03:11.234731+00:00,0.0
